,C,D,BN,AN,W
01-01,13.099834688683679,58.87041312400272,25.159090866722998,78.5893287932754,175.91801623267966
01-02,11.24429750172576,55.74818172430188,71.37718996244544,98.63419487522232,212.01718972560766
01-03,11.0628098987256,54.457685858706476,114.45247914610502,102.2671601583606,206.5507434538214
01-04,12.09223138459536,51.77280983016996,6.08380164264744,104.71830726167089,211.05983435531903
01-05,12.433884276581999,52.66264453941528,-23.575041282613686,89.95160315430661,197.223140163744
01-06,16.76925617010768,68.83884285928201,89.05834695746374,67.37531228323418,141.44264438990976
01-07,31.462313996604237,70.90512384753791,65.90628088074938,55.78480651762863,143.53785099795167
01-08,23.29983467150688,58.53107428159896,59.83214865957324,47.27198669725348,133.11008242047072
01-09,24.23008260382464,53.06545445609231,57.53330568823789,46.84643959053208,140.48264439152638
01-10,24.198842934455758,49.35570239622383,62.291900721546725,47.81725611782284,164.33586749185343
01-11,25.350247891194478,42.923801580608874,60.703388327527556,47.86774206815105,197.9140492534896
01-12,25.50842970910992,36.9619834088304,59.399999899970396,54.7764098251119,227.0241318490963
01-13,26.10793384033176,34.25603300016408,60.67016518708765,49.58524289170506,208.84495832599103
01-14,23.55471070413552,32.02909085515392,60.39173543549039,56.542175111394535,186.40793357038652
01-15,24.31586772764712,28.50396689414808,56.39826436783525,58.810842876169154,172.3008261561264
01-16,19.178181785885762,25.27785119710152,61.06338832692133,59.80061257147207,153.66809891477664
01-17,17.0355371613948,21.97983467372976,71.46842963171328,69.73054754097596,129.99999978108
01-18,13.597685927514718,20.21999996594952,73.5012395456454,80.10676350146385,126.10181796946272
01-19,10.91008262625552,20.39950409787864,77.65760317500973,74.89113375818084,124.2115700387616
01-20,11.181818162988,20.5561983124908,84.47008250238048,64.73269410586617,122.64264442156895
01-21,10.354710726364319,18.855371869074,87.78966927364979,58.95177510733678,128.48396672578176
01-22,12.42942146667216,15.172561957920479,94.22033041984537,51.30044288881666,134.87338820262528
01-23,13.241487581007119,19.84016525584536,100.65892545032509,48.981342066275744,143.18148736218816
01-24,13.91123964599496,20.3132231062884,113.51603286669022,49.710175122899635,150.57652867204897
01-25,15.5429751804372,21.64760326933056,113.48553699897299,55.53123957590688,139.43404935196992
01-26,21.812727235994636,21.21123963370176,111.61747915087913,66.02578501277951,136.9388427446016
01-27,27.48446276363352,21.81223136822688,109.57016510474003,70.94876021110079,129.36066093918143
01-28,30.03123961884888,21.378842939204638,107.46148742234065,69.49487591602848,110.14743783104063
01-29,35.4322313452908,23.5239669025344,105.0787188313119,65.94776848398527,100.4694213184128
01-30,37.220950350543056,22.14099169825176,109.40528907195984,60.58049576575104,100.90710726808895
01-31,33.73462804236444,22.06760326862328,108.24471056151756,60.374875931386555,88.8885948916339
02-01,31.89210738431022,19.52528922331776,104.64657007170906,57.40363626696865,95.1801651289728
02-02,29.462975156995917,18.95008261271616,97.7764461163362,54.8330577589008,86.66975192016383
02-03,25.46132227117272,19.03735533984192,100.52603288856541,46.893223061527685,86.43834696187584
02-04,28.14595036582536,18.71603302633344,112.42661138092153,49.83735528797471,89.81950398097536
02-05,26.806115657337838,17.46049583836512,106.20223122611411,44.566611495197755,97.57090892659967
02-06,27.50280987104064,17.42628096238968,112.8530576611951,44.49983463580608,108.65652874264224
02-07,29.322644578719842,18.31289253114456,118.48214856080665,44.930247858221755,115.31041302895774
02-08,31.63735531862352,19.34479335585312,121.06561963083621,47.068429672802885,132.68033035507872
02-09,35.55421481615976,19.22132228168088,112.55033038897763,42.672727200866404,149.85983445837982
02-10,48.564793306646635,21.231570212179918,125.27280970639596,40.19702472569664,162.4138840240157
02-11,52.07999991229728,25.12413218909592,131.14512374609376,41.3917354674864,211.1213219585213
02-12,51.23404950049871,31.235206558970162,122.85966921459193,45.256859427919686,201.92396660210878
02-13,52.29272718466632,38.40942142292184,108.1561981649724,54.81123957711935,172.81520632054944
02-14,46.839173474841836,40.11471067624848,95.68611554134394,58.98115692546912,161.256198075552
02-15,40.25900819666664,37.2495867141312,92.34322298498988,88.47801637992863,141.99140471956414
02-16,35.23735531256112,33.67041316643952,93.1584295951873,121.14909070507584,110.23669402923743
02-17,30.82413217949712,31.579834657563357,90.04652877398148,125.29520640057312,104.86809899695584
02-18,26.70049582280496,39.04512390119016,94.66024777447646,128.69950391550142,106.3834708952304
02-19,24.68578508239608,38.535371835932885,104.75107420376449,122.24661136438465,111.94314030735552
02-20,25.02595037107944,42.52214868872328,106.6894213079383,101.78776842363071,126.98578491012286
02-21,25.484132188489678,43.250578439562716,118.40578492457159,89.21983456049759,162.5553716270832
02-22,26.83239664902912,39.366942082466394,125.81987582117718,87.38842960490399,190.41057819174526
02-23,31.257024740751596,40.375537122090236,120.21471054136009,88.08859489298112,178.9824790374365
02-24,33.92280986022936,42.678842903335436,122.80140475188013,96.67834694463168,158.25917328721056
02-25,38.75652886035384,45.122479262856714,109.41173535294072,107.34611552170848,155.5173551100096
02-26,43.1999999272512,47.04433876375254,111.31710725055854,103.6165287511296,141.5133881914435
02-27,46.9016528135796,50.1111569404062,102.57793371155628,101.11140478840609,120.9454543417824
02-28,45.93148752595716,48.0675619025253,107.70396676077529,106.75239651444383,120.91768574678785
02-29,66.16264451668128,,79.02214862725727,253.00363593757822,
03-01,45.721487526310796,42.23504125119024,102.76636346330508,114.52826426994432,119.56033037717278
03-02,42.89652885338208,38.34247927427424,98.7632229741786,118.16727252827904,122.06743781096736
03-03,42.00049579703976,38.08561977057455,92.17636348113864,115.43999980559904,148.18446256037473
03-04,41.07966935230944,40.39289249396184,89.77363621245753,106.80661139038561,145.4347104988896
03-05,37.71768588689664,44.6999999247252,85.44570233544827,101.34082627562304,138.3067766265955
03-06,40.6338842290932,42.941156952480476,79.57264449409884,96.93950396898526,139.40099150078592
03-07,46.27611562455036,44.887933808706244,79.27636350286224,96.91636347315648,155.3712394077763
03-08,46.226776781658245,42.172066044684726,75.7611568972116,96.63867752321089,156.90710717378496
03-09,44.79074372622528,36.009421426963435,71.48206599532668,97.08628082824224,139.1497518317875
03-10,43.84809909971352,35.54925613848216,68.56016517380087,98.31471057823968,113.29785104887583
03-11,38.00082638228759,34.07999994260928,61.131818078872186,97.23900810071233,97.8809915707056
03-12,32.45355366435648,30.837024741458876,66.28066104540817,92.55404943091584,79.8247932540048
03-13,31.871900772773998,29.38909085959968,65.47487592279815,83.61256184266752,73.51272714893183
03-14,29.479586727215878,28.02198342388536,71.4708469870811,79.53983457679871,66.81785112714816
03-15,26.50363631900424,21.63520657513656,78.96607424718643,73.08297508353984,115.94446261466688
03-16,21.369917319384957,19.63289252892168,81.30700399531041,71.3051238468643,114.3206609645088
03-17,18.684793356964555,19.121652860361117,84.19438002350593,64.72264451910625,124.98049565730143
03-18,16.551074352293277,18.33669418399704,83.23983457056791,64.950413113764,125.8776857384352
03-19,14.80462807424256,19.98396690849576,74.33342962688863,61.07900816160575,136.5884295220512
03-20,13.811900803187038,20.14115699087568,67.71991724133156,62.13487592842272,136.2737187787795
03-21,12.62033055725976,18.926776827631443,63.925537082432044,61.639669317686405,146.512396447488
03-22,11.67669419521248,19.450413190386,59.10198337154664,62.34512386195296,152.19239643792287
03-23,11.732231385201601,19.8917355036924,61.570661053339805,61.605950309478715,158.71272700545504
03-24,11.283471055378799,20.974214840712477,63.59900815736208,68.88661145424288,162.66644600706147
03-25,11.4322313857068,22.0239669050604,65.74619823639082,68.89652880959808,166.35966914133792
03-26,10.90611568411344,23.699999960089198,72.83619822445128,70.58578500510048,163.7712393936307
03-27,12.35999997918576,23.58371896854948,75.15223127840233,69.8214874857264,190.47471042304224
03-28,11.482066096366681,19.49950409939424,75.69743788905444,69.58082632910687,192.9685947163632
03-29,10.86347105608608,17.197190053684558,69.4933883127252,69.89355360130752,196.88991702380926
03-30,13.48462807646544,15.77752063458768,68.53165277715468,65.37322303040736,182.93487572499552
03-31,14.2710743561328,15.017355346611602,63.801508157021054,59.34611560254047,172.49685921364753
04-01,14.819999975043118,13.538181795383519,60.44764452630534,57.618512299664644,165.78975178692573
04-02,18.20132228339856,17.677190052876238,56.58973130966157,52.78876024168223,162.62413195754593
04-03,21.152727237106077,17.44388426814516,51.319338756553435,49.84595032928255,148.2849584279741
04-04,15.592066089445439,16.23371898092688,52.829751977150394,47.50809909355007,162.01487576022478
04-05,11.50214874096096,17.67818178841176,50.47909082408412,44.089917281124485,186.8753715861283
04-06,12.18297518609544,12.64661154895104,51.437107351396435,44.042975132443196,203.14578478186942
04-07,11.713884277794481,12.64512394564776,54.06892552878264,45.43603298133696,189.83669389519105
04-08,14.6355371654364,12.29305783053816,52.64826437415023,43.252231332121916,186.0753715874755
04-09,16.4057850963396,13.79239667098848,55.68570238556411,41.94611563184208,171.99537161118621
04-10,15.38297518070664,11.4537189889764,61.03239659143632,41.73289249170528,161.0241319602403
04-11,13.557355349070239,12.19735535136048,60.45545444364757,42.8198346386352,153.67735511310818
04-12,11.21702477449896,12.42842973113664,54.55818172630585,42.3272726559936,158.3993385762307
04-13,7.78710742490304,11.51355369961944,55.14115693193567,42.87206604350592,168.06743773350334
04-14,7.56049585503672,9.66148758703584,58.375289157894365,42.54347100273696,164.7636360861744
04-15,7.056198335224799,11.39355369982152,56.68438006983276,41.43382913132736,169.33619806194528
04-16,6.877685938831201,11.082644609436,52.31355363091223,43.34236907301696,186.59173522296956
04-17,6.394214865265199,9.56429750455488,48.545950331471765,44.89785116406144,180.7629749022067
04-18,6.042148750155599,8.47388428325064,48.40735529038284,47.285289176569925,140.34644604464833
04-19,3.4041322256724005,8.4471074237916,45.07090901500968,47.71041314279616,154.74115676420925
04-20,2.2532231367014397,5.433718999114079,43.45561976153148,41.91999992940672,158.28429725411038
04-21,5.63157023845032,4.120661150085599,43.86272719886244,41.080330509333116,153.77917329475486
04-22,6.289586766267839,2.1842975169827996,42.8210743080546,42.46578505245456,144.32132207101247
04-23,6.96743800479576,3.34066115139912,40.503305716916394,37.35272720982528,138.47471051061027
04-24,5.916694204912321,3.1978512342842396,35.932066055192884,35.35669415533536,135.9761981181235
04-25,3.57495867166572,0.2880991730685605,37.47570241622976,34.84495861900704,125.96429730853727
04-26,6.899999988380401,-0.8821487588450397,35.77041316290312,37.49223134182176,123.64826425458625
04-27,5.10148759471488,-0.81619834573296,35.88173547676524,34.213553661392645,123.58347086626559
04-28,5.529421478291761,-2.3047933845484803,33.828966885180776,37.56231398633184,118.87801632873504
04-29,2.83586776381944,-3.69520660534752,32.57876027571588,39.079338777165596,114.36760311319007
04-30,2.9717355321856793,-6.72247932752232,29.743636313548077,39.58611563581632,114.47471055102623
05-01,-1.7732231375097602,-8.34991734131064,26.39950408777464,42.44694207727968,111.25421468868096
05-02,-4.3239669348672,-4.066115695632,26.112644584125476,43.478347034220484,112.04429733197856
05-03,-6.7884297406344,-6.83404957526832,31.6010330046351,41.53785116971968,106.09454527588224
05-04,-6.6842975094048,-2.81801652418008,26.098016484976558,32.033057797296,107.58214857916222
05-05,-6.6966942035988,-3.11999999474592,26.57553714532944,35.104793329313274,102.63272709989376
05-06,-6.7507437902846394,-0.010909090890719675,25.259999957462163,33.552727216224476,98.54148743736192
05-07,-7.014049574965201,2.4892561941552005,22.51512392902667,31.849256144712964,98.14743785124864
05-08,-9.04115700956808,3.7621487539951195,20.09340717878479,31.946446227193917,96.44760314336736
05-09,-9.80429750415072,0.04214876025960024,18.23549208048602,38.17983464644896,88.75504117285055
05-10,-12.421983450155759,-1.8669421456164,16.147494337946615,41.25421480656096,86.36231390415264
05-11,-11.91768593034384,-3.3094214820302406,19.92362881693697,42.719999928059515,84.49322299820928
05-12,-10.767768576908399,-4.667603297924879,21.537614539237797,50.61752057591712,78.18710730634943
05-13,-15.48892559375136,-6.63049585660284,18.18102175751238,49.8247933045248,71.06975194643424
05-14,-11.94148758319632,-6.111570237642,13.879924845146114,23.28528921698592,63.952396586519036
05-15,-10.68446279192472,-5.96677684945608,10.292546939842405,15.3487603047312,64.04165278471584
05-16,-11.672479319186518,-8.928099158518801,8.19190456922512,38.18115696049632,66.59702468123903
05-17,-13.75487600989464,-11.463223121191799,5.768948149563825,35.49818175840288,63.432066008882884
05-18,-10.887272708938559,-11.44016526999096,7.766481232947945,11.233718989346878,64.46743790796576
05-19,-12.60099171431712,-10.8446280809112,8.703849028861185,24.317355330950402,64.42181807333183
05-20,-12.46909088809296,-12.2157024587676,5.15286972489478,-1.4294214851961584,61.9074379122768
05-21,-10.936859485714558,-6.242975196098399,6.3142457848935996,3.831404952225602,58.88991725620127
05-22,-11.72181816207864,-3.9262809851236797,5.958762343314576,5.751404948992319,65.10214865069857
05-23,-11.0727272540808,-1.9596694181875198,7.385551626006937,14.86677683446848,67.73223129089759
05-24,-12.38280989650272,-1.68644627815176,8.165481405656363,51.38314040933856,64.92429741132864
05-25,-11.210082625750319,-4.0671074311675195,8.796898788861684,-2.2135537152806397,63.50942138065344
05-26,-12.869256176675279,-4.5545454468756,10.176208732791023,-4.595041314576,61.86975196192703
05-27,-14.82694212379176,-7.01355370719744,7.494113724882081,-0.26578512351935996,59.33024783397216
05-28,-14.29140493461096,-9.11206610035776,7.751770778138292,-2.0561983436448004,57.032066019660476
05-29,-12.04611568219368,-11.299586757831,9.616039398936914,4.7454545374632,62.217520556382716
05-30,-10.82677684127184,-10.04578510704984,8.938016513873999,8.630082630095039,56.27504122754687
05-31,-10.95719006419272,-8.709917340704399,8.1092975070051,12.6148760118144,54.76099164331968
06-01,-13.86297518326632,-8.61471072929448,12.353801632088757,23.21719004354688,52.1619833832336
06-02,-15.635206585240558,-8.4024793246932,17.43173550783504,0.3094214870822398,49.68462801550464
06-03,-15.48247931277048,-8.259173539810561,18.09272724225912,-0.9857851223068804,46.85090901201216
06-04,-15.06148757794224,-8.842314034696319,14.291033033785139,-0.4720661149075198,44.77090901551488
06-05,-12.57669419369688,-9.860330561907599,11.554462790459642,15.86314046915424,46.756363557625924
06-06,-13.01305782932568,-12.52413221031432,10.87214874202188,18.346446250096317,51.416198260522556
06-07,-14.872066090657919,-15.22512394130304,8.828925604966798,15.27008261891328,51.74942140045727
06-08,-15.7214875768308,-14.42826443851272,8.912975191602122,2.26247933503296,51.06247925285376
06-09,-14.8115702229912,-13.685950390176,10.28107436285196,-0.06016528915487992,46.917024714380155
06-10,-16.9487603020368,-14.382148736111041,9.290826430635242,2.1864462773097597,43.49685943088352
06-11,-15.776528899052161,-12.756198325625999,6.844462798391282,1.2006611550028796,44.39471066904096
06-12,-18.15471071322912,-13.555041299487359,2.9514049537075215,0.89652892411008,38.80198340573184
06-13,-15.87619832037192,-15.93917352687744,5.00752065272436,1.9411570215244798,42.68297513473345
06-14,-15.02677683419904,-16.187107410757438,4.150661150035081,15.35933881711008,42.027768524266556
06-15,-15.2776859246856,-18.32429748980304,5.334545445562081,11.798347087569601,40.77752059248768
06-16,-18.737851208114883,-18.70809914204928,4.590495860038201,-7.1094214756310405,42.599008192726075
06-17,-20.339504097979678,-18.85983467898384,1.2322314028835994,-7.252231392745919,42.46677678799008
06-18,-20.014214842329118,-17.48231402014656,1.68892561699056,-7.89355370571552,38.67702472825632
06-19,-20.271074346028797,-15.0446280738384,0.5807851229888996,-10.499834693062079,35.91041316266736
06-20,-21.1090908735432,-21.31834707153792,0.41429751996348174,1.0631404940774403,34.321983413276165
06-21,-19.445454512708398,-21.199338807275517,-2.632809912921719,3.5947107377481604,35.12595035407104
06-22,-19.53322310760192,-20.44561980028032,-0.3047107432885192,-13.12264460600064,28.07471069652384
06-23,-20.879008229302563,-20.43173550278304,0.5970247923830398,-12.6479338629984,30.501156973429442
06-24,-24.849421445756878,-19.99735533822528,-1.9472727239935201,-1.90677685629312,24.4099173142656
06-25,-22.79404954839168,-20.75603302289808,-5.079669412933439,-8.37553717597824,27.935867721551038
06-26,-20.21256194943312,-21.26082641047776,-7.120413211149719,-11.31173551814112,27.69454540790784
06-27,-20.286942114597117,-22.6214875652112,-8.05140494511912,-6.47867767504032,27.913388382745918
06-28,-18.110082614130718,-20.35388426324472,-8.460991721288881,-3.8717355306700796,30.57917350222368
06-29,-18.663966910718642,-21.540991699262158,-7.376528913197759,-3.42280991159136,31.50148755025728
06-30,-17.10347104557792,-20.07619831329912,-5.20264461933792,-8.21289254815296,30.09520656088992
